Id,SalePrice
1461,130076.5196301516
1462,181266.9714422997
1463,193620.10607393345
1464,204482.6365944918
1465,181612.86963518223
1466,174637.27002902588
1467,186152.8677202042
1468,168276.6367240723
1469,194301.595776486
1470,119030.73578007778
1471,203424.83731420597
1472,106868.96384437641
1473,101411.35342224201
1474,149327.53481205067
1475,111529.65175064167
1476,316718.77143414575
1477,243865.4689374741
1478,283157.46168680745
1479,270878.8841629799
1480,412995.42574270326
1481,291152.7006822403
1482,203976.77752073368
1483,183879.466243821
1484,165679.7037077721
1485,183451.85632665714
1486,203352.1361401852
1487,301105.05981643754
1488,240264.74372442326
1489,202394.3112426575
1490,236495.99684895834
1491,197201.0652309235
1492,91102.8911847051
1493,201082.01403482517
1494,276282.3841319855
1495,267607.9155557926
1496,229649.21149786076
1497,187780.31244571766
1498,163356.52056129536
1499,162824.6031475838
1500,158964.31345851978
1501,194863.0982580956
1502,154380.73753269276
1503,272731.15560849267
1504,233563.4879926022
1505,225253.71043665966
1506,200377.0325082492
1507,260377.76717491707
1508,211669.3516102608
1509,159354.30128903946
1510,152570.05009933075
1511,151701.92275364956
1512,180851.10875506958
1513,158461.81066049894
1514,177410.39038880428
1515,220236.64381315073
1516,165563.89112241825
1517,172491.36520155033
1518,137998.87796147427
1519,234887.13530905804
1520,133152.84808309635
1521,142423.91224365195
1522,187517.01035656294
1523,102240.85220273098
1524,117766.77594025692
1525,120145.3947341021
1526,107391.73405488094
1527,103842.04286654553
1528,142066.32964523396
1529,139025.09390242657
1530,201679.68474091848
1531,127559.81041772923
1532,92581.52861221394
1533,158239.91821106037
1534,128569.51389511189
1535,174422.33080776295
1536,109384.38997347912
1537,80498.0108462151
1538,163251.0202012833
1539,196355.5908693846
1540,139725.4946692761
1541,151183.5902530018
1542,153957.34798391422
1543,194760.44835575184
1544,66536.16701467594
1545,115726.13192947468
1546,128823.77968032917
1547,125612.8959031876
1548,136464.69313390812
1549,126874.05164392552
1550,136062.65601308903
1551,123844.94599683842
1552,145793.65492280087
1553,149463.39954550823
1554,116968.78512962422
1555,172691.73522432407
1556,97334.48740931114
1557,122338.07195051273
1558,102301.36062057575
1559,107869.80945070347
1560,147924.1129875954
1561,155267.6339392539
1562,129344.74295480808
1563,125378.7818430241
1564,169978.25745637974
1565,153011.22604890427
1566,244839.33472545704
1567,74124.29155452808
1568,235614.8270650681
1569,151491.15387828907
1570,139033.39461882671
1571,115373.15666564068
1572,153797.50483568272
1573,247033.5745125588
1574,148736.8818631943
1575,235892.26575036606
1576,250134.54705269894
1577,186272.2605088528
1578,141900.66763885578
1579,154682.07960452398
1580,193684.69472380241
1581,152102.7199526604
1582,118080.99043973049
1583,300069.5770461883
1584,226061.46977599224
1585,147976.95592744907
1586,53467.39213831982
1587,98095.73420651516
1588,154007.27488978466
1589,112561.96174057087
1590,136877.91487653813
1591,89622.91429288944
1592,130600.57071121296
1593,111557.0599516209
1594,150309.132521468
1595,131368.86953379473
1596,221190.80609601995
1597,193470.02474172672
1598,196337.31260116657
1599,177636.76268871388
1600,169870.5471678551
1601,45519.706979590264
1602,130985.97722430786
1603,81369.11474998554
1604,260270.5317583855
1605,242592.03711392244
1606,174363.26183994373
1607,202683.01664860806
1608,206723.51082678398
1609,188311.2832880195
1610,151566.07344086727
1611,144306.53450496754
1612,183532.88486950358
1613,181535.3388813313
1614,127315.55580719074
1615,91749.0332661446
1616,78425.61679084858
1617,89177.44971855244
1618,127018.51504524311
1619,139211.81981380543
1620,207179.3813844498
1621,147040.98056163153
1622,144666.38269613383
1623,264178.82472683745
1624,232933.98765023312
1625,125708.87980039677
1626,187787.35975455007
1627,198889.56863262018
1628,273553.40524132806
1629,174598.25218136868
1630,322314.2361384209
1631,208626.0653360661
1632,223411.36676652989
1633,171077.6293581303
1634,186825.01639874539
1635,172521.36270697674
1636,146361.75881155094
1637,199432.37246902546
1638,200475.2968893822
1639,193581.03977389893
1640,251515.59043605885
1641,194208.41945405563
1642,227715.24382694325
1643,219125.2370804127
1644,227121.76748521885
1645,201922.41885836681
1646,161582.6249474462
1647,166882.87543668112
1648,126375.22837622723
1649,127585.9012594994
1650,115681.04136331638
1651,126642.78781850895
1652,103218.42007740101
1653,103911.93713768086
1654,141491.26408680042
1655,140709.53171928486
1656,138762.93829162678
1657,144521.5751801308
1658,141442.35157592854
1659,121707.11516674122
1660,166009.6181040432
1661,374778.30934675294
1662,343879.37660654145
1663,336493.49945576745
1664,411893.5338295277
1665,285609.7729552563
1666,309204.57802875596
1667,330845.4294930275
1668,307322.66317306715
1669,277800.5880823906
1670,314258.75642521936
1671,268906.8355196293
1672,379115.702700692
1673,272790.2047308262
1674,247281.7507740434
1675,201297.7211676415
1676,201690.95426567158
1677,215617.3854998227
1678,415438.66282899934
1679,338080.37559516984
1680,301690.29302747804
1681,243185.0275736626
1682,288818.70729787904
1683,185747.92002113422
1684,180393.7842775162
1685,175761.39355953297
1686,170456.170575219
1687,172625.7977633055
1688,198326.4308579739
1689,200357.2026398953
1690,196009.51675768456
1691,182276.3305633839
1692,251510.65208895763
1693,170074.64925559124
1694,179027.97334726414
1695,160212.93496258816
1696,264499.99618490296
1697,168030.45833666882
1698,309724.7437384899
1699,298822.5366675134
1700,250144.56133897862
1701,262132.60037501415
1702,246764.04595060906
1703,236651.98769410214
1704,271168.49097486096
1705,238449.88584716877
1706,376414.70587082463
1707,213323.54705198368
1708,205308.2834318455
1709,258131.32016285023
1710,222252.0490103539
1711,261026.4829769235
1712,253258.0932675179
1713,260680.0993542753
1714,224744.500247794
1715,201302.77801855167
1716,184299.98209180197
1717,172311.20425661167
1718,143482.57151349148
1719,208212.1338879343
1720,244230.0293226119
1721,179395.3562053021
1722,132556.35357530674
1723,165597.81334097942
1724,212057.66183932385
1725,228038.13166697582
1726,187208.81275971493
1727,157926.30452783665
1728,181945.85098023972
1729,160331.14254807195
1730,167162.60351546368
1731,121530.02970959505
1732,134800.77490766605
1733,121163.83040638527
1734,122908.5025436457
1735,119756.84319265446
1736,101999.59843214115
